date,company,up,down,views,stars,comments
2006-06-28,,4,0,1300,0,26
2006-06-30,,4,0,294,1,8
2006-07-04,,4,0,388,0,7
2006-07-05,,4,1,293,0,4
2006-07-14,,4,0,249,0,11
2006-07-15,,2,1,749,2,11
2006-07-15,,1,0,694,0,8
2006-07-15,,1,0,1200,0,5
2006-07-17,,1,0,729,0,30
2006-07-19,,0,0,781,0,18
2006-07-20,,1,0,553,0,5
2006-07-20,,1,0,766,0,2
2006-07-21,,1,0,473,0,7
2006-07-24,,1,0,518,0,11
2006-07-24,,1,1,518,0,6
2006-07-24,,1,0,487,0,1
2006-07-25,,0,2,299,0,3
2006-07-25,,1,0,456,0,2
2006-07-27,,1,0,297,0,14
2006-07-29,,0,0,251,0,5
2006-08-03,,4,0,351,0,12
2006-08-04,,1,0,402,0,19
2006-08-04,,1,1,426,0,18
2006-08-04,,0,0,272,0,2
2006-08-06,,0,0,405,0,6
2006-08-07,,0,0,553,2,32
2006-08-07,,3,0,309,0,5
2006-08-07,,0,0,248,0,1
2006-08-08,,1,0,317,3,8
2006-08-08,,4,0,255,0,5
2006-08-08,,1,0,241,0,5
2006-08-09,,0,0,243,0,2
2006-08-11,,3,0,566,0,4
2006-08-11,,1,0,230,0,4
2006-08-12,,4,0,370,3,13
2006-08-12,,2,0,627,1,0
2006-08-13,,1,0,229,0,1
2006-08-17,,3,1,215,0,4
2006-08-18,,2,0,457,0,11
2006-08-21,,3,0,208,0,0
2006-08-22,,1,0,373,0,2
2006-08-23,,5,0,422,0,4
2006-08-24,,1,0,199,0,4
2006-08-26,,2,0,236,0,10
2006-08-27,,3,0,344,0,7
2006-08-29,,4,1,779,3,65
2006-08-29,,5,4,594,1,8
2006-08-29,,2,0,1100,1,1
2006-08-30,,3,0,234,0,9
2006-08-30,,3,0,225,1,5
2006-08-31,,4,0,222,0,2
2006-08-31,,8,0,198,0,2
2006-09-02,,0,11,235,0,0
2006-09-03,,7,1,235,1,14
2006-09-04,,6,0,313,0,20
2006-09-04,,7,1,252,1,15
2006-09-04,,2,0,242,0,1
2006-09-04,,4,0,190,0,1
2006-09-05,,5,1,287,1,4
2006-09-05,,2,2,645,0,2
2006-09-05,,4,1,207,0,2
2006-09-05,,2,0,267,0,1
2006-09-05,,1,1,416,0,0
2006-09-07,,0,0,389,0,8
2006-09-12,,3,3,402,0,3
